;Nr;W0;W1;W2;W3;W4;W5;W6;W7;W8;W9;W10;W11;W12;W13;W14;W15;W16;W17;W18;W19;W20;W21;W22;W23;W24;W25;W26;W27;W28;W29;W30;W31;W32;W33;W34;W35;W36;W37;;;1;2;3;4;;;;1;2;3
0;0;gy;qdll;tjdt;gjvqj;oah;qdlqaldtvonp;wdvl;to;yxsldvn;qovnqviynqy.;lyt;ap;tahn;to;tjy;shoow,;tdkvnb;dp;dn;yxdmsly...;tjvp;shvnqvsly;vp;po;qomslytyle;bynyhdl;tjdt;no;dsslvqdtvon;vp;soppvcly.;lory;vp;dn;yuadtvon;gvtj;tgo;anknognp.;;Alphabet 1;e;i;n;s;;;Alphabet 1;a;n;s
1;250;de;gapp;that;dhugh;oic;gapgipatuors;faup;to;enxpaur;gourgujerge.;pet;is;ticr;to;the;xcoof,;taburv;as;ar;enalxpe...;thus;xcurguxpe;us;so;golxpetepy;verecap;that;ro;axxpugatuor;us;xossumpe.;powe;us;ar;ekiatuor;duth;tdo;irbrodrs.;;Alphabet 2;e;i;s;n;;;Alphabet 2;a;s;n
2;500;we;gapp;that;whigh;ous;gapgupationc;faip;to;edmpain;goingivenge.;pet;uc;tusn;to;the;msoof,;takinj;ac;an;edarmpe...;thic;msingimpe;ic;co;gormpetepy;jenesap;that;no;ammpigation;ic;moccixpe.;pobe;ic;an;eluation;with;two;unknownc.;;Alphabet 3;e;n;i;s;;;Alphabet 3;n;a;s
3;750;we;gapp;that;whigh;ous;gapgupationl;faip;to;edmpain;goingivenge.;pet;ul;tusn;to;the;msoof,;takinb;al;an;edarmpe...;thil;msingimpe;il;lo;gormpetepy;benesap;that;no;ammpigation;il;mollixpe.;poce;il;an;ejuation;with;two;unknownl.;;Alphabet 4;e;n;s;i;;;Alphabet 4;n;s;a
4;1000;we;gapp;that;whigh;ous;gapgupationl;faip;to;edmpain;goingibenge.;pet;ul;tusn;to;the;msoof,;takinc;al;an;edarmpe...;thil;msingimpe;il;lo;gormpetepy;cenesap;that;no;ammpigation;il;mollixpe.;pove;il;an;ejuation;with;two;unknownl.;;Alphabet 5;e;s;i;n;;;Alphabet 5;s;a;n
5;1250;we;gapp;that;whigh;ous;gapgupationl;faip;to;edmpain;goingivenge.;pet;ul;tusn;to;the;msoof,;takinc;al;an;edarmpe...;thil;msingimpe;il;lo;gormpetepy;cenesap;that;no;ammpigation;il;mollixpe.;pobe;il;an;ejuation;with;two;unknownl.;;Alphabet 6;e;s;n;i;;;Alphabet 6;s;n;a
6;1500;we;capp;that;which;oum;capcupationl;faip;to;erspain;coincibence.;pet;ul;tumn;to;the;smoof,;tading;al;an;erakspe...;thil;smincispe;il;lo;cokspetepy;genemap;that;no;asspication;il;sollixpe.;pove;il;an;equation;with;two;undnownl.;;Alphabet 7;i;e;n;s;;;;;;
7;1750;we;camm;that;which;oup;camcumationl;vaim;to;ersmain;coincifence.;met;ul;tupn;to;the;spoov,;tading;al;an;eraksme...;thil;spincisme;il;lo;coksmetemy;genepam;that;no;assmication;il;sollixme.;mobe;il;an;equation;with;two;undnownl.;;Alphabet 8;i;e;s;n;;;;;;
8;2000;we;capp;that;which;oum;capcupationl;baip;to;erspain;coincivence.;pet;ul;tumn;to;the;smoob,;tading;al;an;erakspe...;thil;smincispe;il;lo;cokspetepy;genemap;that;no;asspication;il;sollixpe.;pofe;il;an;equation;with;two;undnownl.;;Alphabet 9;i;n;s;e;;;;;;
9;2250;we;capp;that;which;our;capcupationl;maip;to;evspain;coincikence.;pet;ul;turn;to;the;sroom,;tading;al;an;evabspe...;thil;srincispe;il;lo;cobspetepy;generap;that;no;asspication;il;sollixpe.;pofe;il;an;equation;with;two;undnownl.;;Alphabet 10;i;n;e;s;;;;;;
10;2500;we;carr;that;which;ous;carcurationl;fair;to;emprain;coincikence.;ret;ul;tusn;to;the;psoof,;tading;al;an;emaxpre...;thil;psincipre;il;lo;coxpretery;genesar;that;no;apprication;il;pollibre.;rove;il;an;equation;with;two;undnownl.;;Alphabet 11;i;s;e;n;;;;;;
11;2750;we;call;that;which;our;calculations;fail;to;emplain;coincidence.;let;us;turn;to;the;proof,;taking;as;an;emaxple...;this;principle;is;so;coxpletely;general;that;no;application;is;possible.;love;is;an;equation;with;two;unknowns.;;Alphabet 12;i;s;n;e;;;;;;
12;3000;we;call;that;which;our;calculations;gail;to;explain;coincivence.;let;us;turn;to;the;proog,;tadink;as;an;example...;this;principle;is;so;completely;keneral;that;no;application;is;possible.;lofe;is;an;equation;with;two;undnowns.;;Alphabet 13;n;e;i;s;;;;;;
13;3250;we;call;that;which;our;calculations;fail;to;explain;coincivence.;let;us;turn;to;the;proof,;tagind;as;an;example...;this;principle;is;so;completely;deneral;that;no;application;is;possible.;loke;is;an;equation;with;two;ungnowns.;;Alphabet 14;n;e;s;i;;;;;;
14;3500;we;call;that;which;our;calculations;fail;to;explain;coincivence.;let;us;turn;to;the;proof,;tagind;as;an;example...;this;principle;is;so;completely;deneral;that;no;application;is;possible.;loke;is;an;equation;with;two;ungnowns.;;Alphabet 15;n;i;e;s;;;;;;
15;3750;we;call;that;which;our;calculations;fail;to;explain;coincivence.;let;us;turn;to;the;proof,;tagind;as;an;example...;this;principle;is;so;completely;deneral;that;no;application;is;possible.;loke;is;an;equation;with;two;ungnowns.;;Alphabet 16;n;i;s;e;;;;;;
16;4000;we;call;that;which;our;calculations;fail;to;explain;coincivence.;let;us;turn;to;the;proof,;tagind;as;an;example...;this;principle;is;so;completely;deneral;that;no;application;is;possible.;loke;is;an;equation;with;two;ungnowns.;;Alphabet 17;n;s;e;i;;;;;;
17;4250;we;call;that;which;our;calculations;fail;to;explain;coincidence.;let;us;turn;to;the;proof,;tagink;as;an;example...;this;principle;is;so;completely;keneral;that;no;application;is;possible.;love;is;an;equation;with;two;ungnowns.;;Alphabet 18;n;s;i;e;;;;;;
18;4292;we;call;that;which;our;calculations;fail;to;explain;coincidence.;let;us;turn;to;the;proof,;taking;as;an;example...;this;principle;is;so;completely;general;that;no;application;is;possible.;love;is;an;equation;with;two;unknowns.;;Alphabet 19;s;e;i;n;;;;;;
19;4500;we;call;that;which;our;calculations;fail;to;explain;coincivence.;let;us;turn;to;the;proof,;tading;as;an;example...;this;principle;is;so;completely;general;that;no;application;is;possible.;loke;is;an;equation;with;two;undnowns.;;Alphabet 20;s;e;n;i;;;;;;
20;4750;we;call;that;which;our;calculations;fail;to;explain;coincivence.;let;us;turn;to;the;proof,;tagind;as;an;example...;this;principle;is;so;completely;deneral;that;no;application;is;possible.;loke;is;an;equation;with;two;ungnowns.;;Alphabet 21;s;i;e;n;;;;;;
21;4999;we;dall;that;whidh;our;daldulations;fail;to;explain;doindikende.;let;us;turn;to;the;proof,;taginj;as;an;example...;this;prindiple;is;so;dompletely;jeneral;that;no;applidation;is;possible.;love;is;an;equation;with;two;ungnowns.;;Alphabet 22;s;i;n;e;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Alphabet 23;s;n;e;i;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Alphabet 24;s;n;i;e;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;23;;34;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;24;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;
